gid;ad_code;ad_ban_id;ad_nomvoie;ad_fantoir;ad_numero;ad_rep;ad_insee;ad_postal;ad_alias;ad_nom_ld;ad_x_ban;ad_y_ban;ad_commune;ad_section;ad_idpar;ad_x_parc;ad_y_parc;ad_nat;ad_nblhab;ad_nblpro;ad_nbprhab;ad_nbprpro;ad_rivoli;ad_hexacle;ad_hexaclv;ad_distinf;ad_isole;ad_prio;ad_racc;ad_batcode;ad_nombat;ad_ietat;ad_itypeim;ad_imneuf;ad_idatimn;ad_prop;ad_gest;ad_idatsgn;ad_iaccgst;ad_idatcab;ad_idatcom;ad_typzone;ad_comment;ad_geolqlt;ad_geolmod;ad_geolsrc;ad_creadat;ad_majdate;ad_majsrc;ad_abddate;ad_abdsrc;nom_sro;nb_prises_totale;statut;cas_particuliers;nom_id;nom_pro;x;y;potentiel_ftte;geom
279;AD700BC0005019;ADRNIVX_0000000278281206;Rue de la Nitrière;0235;9;;70026;70100;;;894562.916793168;6709910.43914986;Arc-lès-Gray;;2018700026000AP0005;894578.5530106;6709915.30120243;;1;0;1;0;;;;33;f;;1;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01C;1;E;;1684;;894552.658927017;6709913.53968515;0;01010000206A080000CBE15E51B14C2B4197338A62A6985941
280;AD700BC0005020;ADRNIVX_0000000278281202;Rue de la Nitrière;0235;3;;70026;70100;;;894643.991168344;6709888.41767558;Arc-lès-Gray;;2018700026000AP0009;894635.887377686;6709883.49386478;;1;0;1;0;;;;8;f;;7;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01C;1;E;;2491;;894640.32362483;6709880.76675321;0;01010000206A0800005927B2A5604D2B410C7C12319E985941
281;AD700BC0005021;ADRNIVX_0000000278281201;Rue de la Nitrière;0235;1;BIS;70026;70100;;;894652.389216225;6709871.35338471;Arc-lès-Gray;;2018700026000AP0140;894636.040248338;6709862.90984275;;1;0;1;0;;;;32;f;;7;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01C;1;E;;2074;;894642.408122268;6709863.1643304;0;01010000206A080000E366F5D0644D2B41A56384CA99985941
282;AD700BC0005022;ADRNIVX_0000000278281200;Rue de la Nitrière;0235;1;;70026;70100;;;894662.012858183;6709855.9964636;Arc-lès-Gray;;2018700026000AP0011;894657.987788562;6709849.96410854;;1;0;1;0;;;;33;f;;7;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01C;1;E;;1378;;894650.861917434;6709852.85764862;0;01010000206A080000EA3D4DB9754D2B410AB7E33697985941
283;AD700BC0005029;ADRNIVX_0000000278281184;Avenue Jean Jaurès;0200;43;;70026;70100;;;894616.011255651;6710013.21114247;Arc-lès-Gray;;2018700026000AP0018;894607.903203189;6710009.42489568;;2;0;2;0;;;;30;f;;1;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01C;2;E;;1386;;894608.013914539;6710014.05878383;0;01010000206A08000078CE1F07204D2B41411DC383BF985941
284;AD700BC0005047;ADRNIVX_0000000278280351;Rue des Granges;0160;5;;70026;70100;;;894609.297104496;6710123.91800041;Arc-lès-Gray;;2018700026000AO0153;894624.319592549;6710127.32494159;;1;0;1;0;;;;29;f;;0;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01C;1;E;;1223;;894630.016943053;6710131.02225119;0;01010000206A08000082C2AC084C4D2B413F906CC1DC985941
285;AD700BC0005048;ADRNIVX_0000000278280348;Rue des Granges;0160;3;;70026;70100;;;894613.691157076;6710111.72429573;Arc-lès-Gray;;2018700026000AO0154;894627.235625659;6710115.21570597;;1;0;1;0;;;;12;f;;7;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01C;1;E;;2265;;894630.943386359;6710116.89399077;0;01010000206A0800006B8903E34D4D2B4115253739D9985941
286;AD700BC0005049;ADRNIVX_0000000326641741;Rue Louis Chauveau;0220;12;;70026;70100;;;894672.097690918;6709179.5422347;Arc-lès-Gray;;2018700026000AB0817;894633.54846879;6709201.12072797;;0;1;0;1;;;;64;f;;7;;;;P;;;;;;;;;;;;;;2018-06-11 00:00:00;;;;;N070GAY_S01C;1;C;;;Mairie;894626.484207279;6709215.08898669;1;01010000206A0800003A04EAF7444D2B4138F5B1C5F7975941
287;AD700BC0005053;ADRNIVX_0000000278282569;Avenue des Parcs;0238;6;;70026;70100;;;894949.996768394;6709096.17078949;Arc-lès-Gray;;2018700026000AW0306;894939.449066786;6709110.11783634;;0;1;0;1;;;;65;f;;7;;;;P;;;;;;;;;;;;;;2018-06-11 00:00:00;;;;;N070GAY_S01C;1;E;;2459;Maison médicale;894949.883921199;6709111.80533868;1;01010000206A080000C35191C4CB4F2B4142AB8AF3DD975941
288;AD700BC0005057;ADRNIVX_0000000278282582;Rue Louis Chauveau;0220;17;;70026;70100;;;894665.280050398;6709254.23316585;Arc-lès-Gray;;2018700026000AB0179;894693.525915275;6709254.96091753;;0;1;0;1;;;;60;f;;7;;;;P;;;;;;;;;;;;;;2018-06-11 00:00:00;;;;;N070GAY_S01C;1;E;;2387;Ecole primaire;894680.776054255;6709262.12238526;1;01010000206A080000BEFB568DB14D2B41FA28D58703985941
